29,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,4,HANSON Robin,2001,17,Sweden,22.85,766,926
30,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,5,CECCON Thomas,2001,17,Italy,22.93,758,919
31,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,5,CALVELO DE SOUZA Andrelui,2000,18,Brazil,22.93,758,917
32,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,7,PICKETT Michael,2002,16,New Zealand,23.02,749,941
33,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,7,NORTJE Gawie,2001,17,South Africa,23.02,749,911
34,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,9,LEE Yooyeon,2000,18,Korea,23.05,746,906
35,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,9,RATIU George,2000,18,Romania,23.05,746,906
36,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,11,SIMONS Kenzo,2001,17,Netherlands,23.07,744,906
37,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,12,BRINKWORTH Ashton,2000,18,Australia,23.11,740,901
38,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,13,BURDISSO Federico,2001,17,Italy,23.15,736,899
39,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,14,BARSEGHYAN Artur,2002,16,Armenia,23.17,734,928
40,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,15,PEIXOTO Lucas,2000,18,Brazil,23.24,728,890
41,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,16,CRUZ ZUNIGA Guillermo,2000,18,Mexico,23.28,724,886
42,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,16,LIENDO Joshua,2002,16,Canada,23.28,724,918
43,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,18,DUSA Matej,2000,18,Slovakia,23.30,722,885
44,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,19,DELICES Jean-Marc,2000,18,France,23.41,712,875
45,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,20,BEDOUR Mohammed,2000,18,Jordan,23.62,693,857
46,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,21,BELFER Alexey,2000,18,Finland,23.67,689,853
47,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,22,MIROSLAW Rafael,2001,17,Germany,23.77,680,846
48,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,22,POWELL Robert,2000,18,Ireland,23.77,680,844
49,7-12Oct2018,BuenosAires(ARG),III Youth Olympic Games,Men,Freestyle,50,m,Prelim,9 Oct 2018 - 2:00,24,JACKSON Joseph,2000,18,Australia,23.81,677,841
